,hcpcs_code,average_medicare_allowed_amt,year
0,41530,875.9261982390001,2017
1,J0600,2354.8756467745,2017
2,J7192,12880.678381465936,2017
3,J9999,1241.5785192374356,2017
4,Q2043,39279.0865448125,2017
5,41530,893.4471101829628,2016
6,J0600,1039.7180024495333,2016
7,J7192,19275.296602437666,2016
8,J9999,1737.6260593162722,2016
9,Q2043,37672.45685615999,2016
10,41530,2988.0853321935483,2015
11,J0600,473.6866634015375,2015
12,J7192,18652.902051167766,2015
13,J9999,2708.152776230691,2015
14,Q2043,35938.558603,2015
